"CCLE_19Q4_gene_symbol","HGNC_ID","HGNC_approved_symbol","HGNC_alias_symbols","HGNC_previous_symbols"
"RNF14","HGNC:10058","RNF14","ARA54|HFB30|TRIAD2",""
"DNASE1L1","HGNC:2957","DNASE1L1","DNAS1L1|XIB|DNASEX","DNL1L"
"DDX11","HGNC:2736","DDX11","ChlR1|KRG-2|CHL1|WABS",""
"HEBP1","HGNC:17176","HEBP1","HEBP|HBP",""
"GPRC5A","HGNC:9836","GPRC5A","RAIG1|TIG1|PEIG-1","RAI3"
"MAMLD1","HGNC:2568","MAMLD1","CG1|F18","CXorf6"
"CD6","HGNC:1691","CD6","Tp120",""
"TACC3","HGNC:11524","TACC3","ERIC1|ERIC-1|maskin|Tacc4",""
"UFL1","HGNC:23039","UFL1","NLBP|Maxer|RCAD","KIAA0776"
"POLA2","HGNC:30073","POLA2","FLJ21662",""
"ZC3H3","HGNC:28972","ZC3H3","KIAA0150","ZC3HDC3"
"CAPN1","HGNC:1476","CAPN1","muCANP|muCL|CANP|CANPL1",""
"ACPP","HGNC:125","ACP3","ACP-3|PAP|TM-PAP","ACPP"
"MDH1","HGNC:6970","MDH1","",""
"SLC30A9","HGNC:1329","SLC30A9","HUEL|ZNT9|GAC63","C4orf1"
